id,species_ori,vernacularName,scientificName,taxonRank,type,source_latest_only,species_code_ntu,species_nr,statusTW
367,黑翅鳶,黑翅鳶,Elanus caeruleus,species,NA,NA,B0607,134,breed
368,黑喉噪眉,黑喉噪眉,Ianthocincla chinensis,species,NA,NA,B0610,572,introduced
369,黑喉鴝,黑喉鴝,Saxicola maurus,species,NA,NA,B0402,626,nonbreeding
370,黑腹燕鷗,黑腹燕鷗,Chlidonias hybrida,species,NA,NA,B0257,297,nonbreeding
371,黑腹濱鷸,黑腹濱鷸,Calidris alpina,species,NA,NA,B0191,237,nonbreeding
372,黑領椋鳥,黑領椋鳥,Gracupica nigricollis,species,NA,NA,B0484,656,breedKM
373,黑鳶,黑鳶,Milvus migrans,species,NA,NA,B0130,154,breed
374,黑嘴鷗,黑嘴鷗,Saundersilarus saundersi,species,NA,NA,B0249,271,nonbreeding
375,黑頭文鳥,黑頭文鳥,Lonchura atricapilla,species,NA,NA,B0501,744,breed
376,黑臉鵐,灰頭黑臉鵐,Emberiza spodocephala,species,NA,NA,B0532,716,nonbreeding
377,極北柳鶯,極北柳鶯複合種,Phylloscopus borealis/xanthodryas/examinandus,speciesComplex,NA,eBird 2018,B0434,822,nonbreeding
378,極北柳鶯複合群,極北柳鶯複合種,Phylloscopus borealis/xanthodryas/examinandus,speciesComplex,NA,eBird 2018,B0434,822,nonbreeding
379,極北柳鶯複合種,極北柳鶯複合種,Phylloscopus borealis/xanthodryas/examinandus,speciesComplex,NA,eBird 2018,B0434,822,nonbreeding
380,煤山雀,煤山雀,Periparus ater,species,NA,NA,B0356,458,breed
381,葡萄胸椋鳥,葡萄胸椋鳥,Acridotheres burmannicus,species,NA,NA,B0599,823,introduced
382,葵花鳳頭鸚鵡,葵花鳳頭鸚鵡,Cacatua galerita,species,NA,NA,B0557,824,introduced
383,蜂鷹,東方蜂鷹,Pernis ptilorhynchus,species,NA,NA,B0131,135,breed
384,裏海銀鷗,銀鷗,Larus argentatus,species,NA,NA,B0243,283,nonbreeding
385,裏海燕鷗,裏海燕鷗,Hydroprogne caspia,species,NA,NA,B0261,294,nonbreeding
386,跳鴴,跳鴴,Vanellus cinereus,species,NA,NA,B0185,193,nonbreeding
387,遊隼,遊隼,Falco peregrinus,species,NA,NA,B0138,390,breed
388,鉛色水鶇,鉛色水鶇,Phoenicurus fuliginosus,species,NA,NA,B0400,620,breed
389,熊鷹,熊鷹,Nisaetus nipalensis,species,NA,NA,B0133,139,breed
390,綠啄木,綠啄木,Picus canus,species,NA,NA,B0319,384,breed
391,綠啄花,綠啄花,Dicaeum minullum,species,NA,NA,B0497,666,breed
392,綠畫眉,綠畫眉,Erpornis zantholeuca,species,NA,NA,B0377,414,breed
393,綠鳩,綠鳩,Treron sieboldii,species,NA,NA,B0278,318,breed
394,綠簑鷺,綠簑鷺,Butorides striata,species,NA,NA,B0043,119,breed
395,綠頭鴨,綠頭鴨,Anas platyrhynchos,species,NA,NA,B0076,21,nonbreeding
396,綠頭鴨（畜養）,綠頭鴨(馴化),Anas platyrhynchos (Domestic type),species,NA,NA,B0076_domestic,825,domestic
397,綠頭鴨(馴化),綠頭鴨(馴化),Anas platyrhynchos (Domestic type),species,NA,NA,B0076_domestic,825,domestic
398,綠繡眼,斯氏繡眼,Zosterops simplex,species,NA,NA,B0499,558,breed
399,緋秧雞,緋秧雞,Zapornia fusca,species,NA,NA,B0164,169,breed
400,翠鳥,翠鳥,Alcedo atthis,species,NA,NA,B0307,362,breed
401,翠翼鳩,翠翼鳩,Chalcophaps indica,species,NA,NA,B0267,315,breed
402,臺灣獼猴,臺灣獼猴,Macaca cyclopis,nonAves,NA,NA,NA,841,NA
403,蒙古鴴,蒙古鴴,Charadrius mongolus,species,NA,NA,B0183,194,nonbreeding
404,蒼眉蝗鶯,蒼眉蝗鶯,Locustella fasciolata,species,NA,NA,B0431,534,nonbreeding
405,蒼燕鷗,蒼燕鷗,Sterna sumatrana,species,NA,NA,B0260,299,breed
406,蒼鷹,蒼鷹,Accipiter gentilis,species,NA,NA,B0109,153,nonbreeding
407,蒼鷺,蒼鷺,Ardea cinerea,species,NA,NA,B0038,107,nonbreeding
408,遠東樹鶯,短翅樹鶯複合種,Horornis diphone/canturians,speciesComplex,NA,NA,B0426,815,nonbreeding
409,銀鷗,銀鷗,Larus argentatus,species,NA,NA,B0243,283,nonbreeding
410,領角鴞,領角鴞,Otus lettia,species,NA,NA,B0296,340,breed
411,鳳頭蒼鷹,鳳頭蒼鷹,Accipiter trivirgatus,species,NA,NA,B0113,148,breed
412,鳳頭潛鴨,鳳頭潛鴨,Aythya fuligula,species,NA,NA,B0087,34,nonbreeding
413,鳳頭燕鷗,鳳頭燕鷗,Thalasseus bergii,species,NA,NA,B0253,301,breed
414,寬嘴鶲,寬嘴鶲,Muscicapa dauurica,species,NA,NA,B0456,583,nonbreeding
415,寬嘴鷸,寬嘴鷸,Calidris falcinellus,species,NA,NA,B0205,228,nonbreeding
416,樣點刪除,樣點刪除,No survey,NA,NA,NA,NOSURVEY,854,NA
417,歐亞雲雀,歐亞雲雀,Alauda arvensis,species,NA,NA,B0654,444,nonbreeding
418,歐洲椋鳥,歐洲椋鳥,Sturnus vulgaris,species,NA,NA,B0490,652,nonbreeding
419,褐色柳鶯,褐色柳鶯,Phylloscopus fuscatus,species,NA,NA,B0436,499,nonbreeding
420,褐林鴞,褐林鴞,Strix leptogrammica,species,NA,NA,B0301,346,breed
421,褐頭花翼,褐頭花翼,Fulvetta formosana,species,NA,NA,B0364,551,breed
422,褐頭鷦鶯,褐頭鷦鶯,Prinia inornata,species,NA,NA,B0442,546,breed
423,褐鷹鴞,褐鷹鴞,Ninox japonica,species,NA,NA,B0295,350,breed
424,褐鷽,褐鷽,Pyrrhula nipalensis,species,NA,NA,B0517,722,breed
425,輝椋鳥,亞洲輝椋鳥,Aplonis panayensis,species,NA,NA,B0483,651,introduced
426,銹鵐,鏽鵐,Emberiza rutila,species,NA,NA,B0530,712,nonbreeding
427,噪犀鳥,噪犀鳥,Bycanistes bucinator,species,NA,NA,NA,831,introduced
428,噪鵑,噪鵑,Eudynamys scolopaceus,species,NA,NA,B0288,324,breed
429,樹鵲,樹鵲,Dendrocitta formosae,species,NA,NA,B0347,432,breed
430,樹鷚,樹鷚,Anthus hodgsoni,species,NA,NA,B0464,688,nonbreeding
431,橙頰梅花雀,橙頰梅花雀,Estrilda melpoda,species,NA,NA,B0584,740,introduced
432,橫斑梅花雀,橫斑梅花雀,Estrilda astrild,species,NA,NA,B0507,832,introduced
433,燕鴴,燕鴴,Glareola maldivarum,species,NA,NA,B0238,258,breed
434,燕鷗,燕鷗,Sterna hirundo,species,NA,NA,B0256,300,nonbreeding
435,蕃鴨,疣鼻棲鴨(馴化),Cairina moschata (Domestic type),species,NA,NA,NA,814,domestic
